 1.00000E+00 7.00000E+00    2251 2.66667E-03
 temperature   HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
 1.02667E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.33275E-11   3.34080E-11   2.55581E-10   2.82798E-11   4.44283E-11   1.28583E-10   0.00000E+00   4.44382E-26   3.67077E-26   2.81472E-25   3.70280E-26   6.52243E-26   6.76915E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.02933E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.32066E-11   3.32779E-11   2.54485E-10   2.81743E-11   4.42241E-11   1.28111E-10   0.00000E+00   4.45468E-26   3.67900E-26   2.81991E-25   3.71138E-26   6.53245E-26   6.78603E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.03200E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.30861E-11   3.31483E-11   2.53393E-10   2.80693E-11   4.40209E-11   1.27640E-10   0.00000E+00   4.46556E-26   3.68725E-26   2.82511E-25   3.71998E-26   6.54249E-26   6.80296E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.03467E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.29661E-11   3.30193E-11   2.52306E-10   2.79646E-11   4.38187E-11   1.27171E-10   0.00000E+00   4.47647E-26   3.69551E-26   2.83031E-25   3.72859E-26   6.55254E-26   6.81992E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.03733E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.28464E-11   3.28907E-11   2.51223E-10   2.78603E-11   4.36174E-11   1.26704E-10   0.00000E+00   4.48740E-26   3.70380E-26   2.83552E-25   3.73722E-26   6.56261E-26   6.83692E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.04000E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.27272E-11   3.27627E-11   2.50146E-10   2.77564E-11   4.34170E-11   1.26239E-10   0.00000E+00   4.49836E-26   3.71210E-26   2.84075E-25   3.74587E-26   6.57269E-26   6.85396E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.04267E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.26084E-11   3.26351E-11   2.49072E-10   2.76528E-11   4.32175E-11   1.25775E-10   0.00000E+00   4.50934E-26   3.72042E-26   2.84598E-25   3.75454E-26   6.58279E-26   6.87104E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.04533E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.24901E-11   3.25081E-11   2.48004E-10   2.75497E-11   4.30189E-11   1.25313E-10   0.00000E+00   4.52035E-26   3.72876E-26   2.85123E-25   3.76323E-26   6.59290E-26   6.88816E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.04800E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.23721E-11   3.23815E-11   2.46940E-10   2.74468E-11   4.28213E-11   1.24853E-10   0.00000E+00   4.53138E-26   3.73712E-26   2.85648E-25   3.77193E-26   6.60303E-26   6.90532E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.05067E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.22546E-11   3.22554E-11   2.45880E-10   2.73444E-11   4.26245E-11   1.24394E-10   0.00000E+00   4.54244E-26   3.74550E-26   2.86174E-25   3.78066E-26   6.61317E-26   6.92253E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.05333E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.21375E-11   3.21298E-11   2.44825E-10   2.72424E-11   4.24287E-11   1.23937E-10   0.00000E+00   4.55352E-26   3.75390E-26   2.86701E-25   3.78940E-26   6.62333E-26   6.93977E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.05600E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.20208E-11   3.20048E-11   2.43775E-10   2.71407E-11   4.22337E-11   1.23482E-10   0.00000E+00   4.56463E-26   3.76231E-26   2.87229E-25   3.79816E-26   6.63350E-26   6.95705E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.05867E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.19045E-11   3.18801E-11   2.42729E-10   2.70393E-11   4.20397E-11   1.23028E-10   0.00000E+00   4.57576E-26   3.77075E-26   2.87759E-25   3.80693E-26   6.64369E-26   6.97438E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.06133E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.17886E-11   3.17560E-11   2.41688E-10   2.69384E-11   4.18465E-11   1.22576E-10   0.00000E+00   4.58692E-26   3.77920E-26   2.88289E-25   3.81573E-26   6.65390E-26   6.99174E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.06400E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.16732E-11   3.16324E-11   2.40651E-10   2.68378E-11   4.16542E-11   1.22125E-10   0.00000E+00   4.59811E-26   3.78767E-26   2.88820E-25   3.82454E-26   6.66412E-26   7.00915E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.06667E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.15581E-11   3.15092E-11   2.39618E-10   2.67375E-11   4.14629E-11   1.21677E-10   0.00000E+00   4.60932E-26   3.79616E-26   2.89352E-25   3.83337E-26   6.67436E-26   7.02660E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.06933E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.14435E-11   3.13866E-11   2.38590E-10   2.66377E-11   4.12724E-11   1.21229E-10   0.00000E+00   4.62055E-26   3.80467E-26   2.89885E-25   3.84222E-26   6.68461E-26   7.04408E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.07200E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.13292E-11   3.12644E-11   2.37566E-10   2.65382E-11   4.10827E-11   1.20784E-10   0.00000E+00   4.63181E-26   3.81320E-26   2.90419E-25   3.85109E-26   6.69488E-26   7.06161E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.07467E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.12154E-11   3.11426E-11   2.36547E-10   2.64390E-11   4.08940E-11   1.20340E-10   0.00000E+00   4.64310E-26   3.82175E-26   2.90954E-25   3.85997E-26   6.70517E-26   7.07918E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.07733E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.11019E-11   3.10214E-11   2.35532E-10   2.63402E-11   4.07061E-11   1.19898E-10   0.00000E+00   4.65441E-26   3.83032E-26   2.91490E-25   3.86887E-26   6.71547E-26   7.09680E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.08000E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.09889E-11   3.09006E-11   2.34522E-10   2.62418E-11   4.05191E-11   1.19457E-10   0.00000E+00   4.66575E-26   3.83891E-26   2.92027E-25   3.87780E-26   6.72579E-26   7.11445E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.08267E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.08763E-11   3.07803E-11   2.33516E-10   2.61437E-11   4.03329E-11   1.19018E-10   0.00000E+00   4.67711E-26   3.84751E-26   2.92565E-25   3.88674E-26   6.73612E-26   7.13215E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.08533E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.07641E-11   3.06605E-11   2.32514E-10   2.60460E-11   4.01476E-11   1.18580E-10   0.00000E+00   4.68850E-26   3.85614E-26   2.93104E-25   3.89570E-26   6.74647E-26   7.14988E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.08800E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.06522E-11   3.05411E-11   2.31516E-10   2.59486E-11   3.99631E-11   1.18144E-10   0.00000E+00   4.69991E-26   3.86478E-26   2.93644E-25   3.90467E-26   6.75683E-26   7.16766E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.09067E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.05408E-11   3.04222E-11   2.30523E-10   2.58516E-11   3.97795E-11   1.17710E-10   0.00000E+00   4.71135E-26   3.87345E-26   2.94185E-25   3.91367E-26   6.76721E-26   7.18548E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
