#x,rho,rhovx,energy
#system.get('generic').base('length'),((system.get('generic').base('length')**-3) * system.get('generic').base('mass')),(system.get('generic').base('length') * (system.get('generic').base('time')**-1.0)),(((system.get('generic').base('length')**-1) * (system.get('generic').base('time')**-2)) * system.get('generic').base('mass'))
#length,length**-3 * mass,length * time**-1.0,length**-1 * time**-2 * mass
0.0,4.0,0.0,1.0
0.001001001001,4.0,0.0,1.0
0.002002002002,4.0,0.0,1.0
0.003003003003,4.0,0.0,1.0
0.004004004004,4.0,0.0,1.0
0.00500500500501,4.0,0.0,1.0
0.00600600600601,4.0,0.0,1.0
0.00700700700701,4.0,0.0,1.0
0.00800800800801,4.0,0.0,1.0
0.00900900900901,4.0,0.0,1.0
0.01001001001,4.0,0.0,1.0
0.011011011011,4.0,0.0,1.0
0.012012012012,4.0,0.0,1.0
0.013013013013,4.0,0.0,1.0
0.014014014014,4.0,0.0,1.0
0.015015015015,4.0,0.0,1.0
0.016016016016,4.0,0.0,1.0
0.017017017017,4.0,0.0,1.0
0.018018018018,4.0,0.0,1.0
0.019019019019,4.0,0.0,1.0
0.02002002002,4.0,0.0,1.0
0.021021021021,4.0,0.0,1.0
0.022022022022,4.0,0.0,1.0
0.023023023023,4.0,0.0,1.0
0.024024024024,4.0,0.0,1.0
0.025025025025,4.0,0.0,1.0
0.026026026026,4.0,0.0,1.0
0.027027027027,4.0,0.0,1.0
0.028028028028,4.0,0.0,1.0
0.029029029029,4.0,0.0,1.0
0.03003003003,4.0,0.0,1.0
0.031031031031,4.0,0.0,1.0
0.032032032032,4.0,0.0,1.0
0.033033033033,4.0,0.0,1.0
0.034034034034,4.0,0.0,1.0
0.035035035035,4.0,0.0,1.0
0.036036036036,4.0,0.0,1.0
0.037037037037,4.0,0.0,1.0
0.038038038038,4.0,0.0,1.0
0.039039039039,4.0,0.0,1.0
0.04004004004,4.0,0.0,1.0
0.041041041041,4.0,0.0,1.0
0.042042042042,4.0,0.0,1.0
0.043043043043,4.0,0.0,1.0
0.044044044044,4.0,0.0,1.0
0.045045045045,4.0,0.0,1.0
0.046046046046,4.0,0.0,1.0
0.047047047047,4.0,0.0,1.0
0.048048048048,4.0,0.0,1.0
0.049049049049,4.0,0.0,1.0
0.0500500500501,4.0,0.0,1.0
0.0510510510511,4.0,0.0,1.0
0.0520520520521,4.0,0.0,1.0
0.0530530530531,4.0,0.0,1.0
0.0540540540541,4.0,0.0,1.0
0.0550550550551,4.0,0.0,1.0
0.0560560560561,4.0,0.0,1.0
0.0570570570571,4.0,0.0,1.0
0.0580580580581,4.0,0.0,1.0
0.0590590590591,4.0,0.0,1.0
0.0600600600601,4.0,0.0,1.0
0.0610610610611,4.0,0.0,1.0
0.0620620620621,4.0,0.0,1.0
0.0630630630631,4.0,0.0,1.0
0.0640640640641,4.0,0.0,1.0
0.0650650650651,4.0,0.0,1.0
0.0660660660661,4.0,0.0,1.0
0.0670670670671,4.0,0.0,1.0
0.0680680680681,4.0,0.0,1.0
0.0690690690691,4.0,0.0,1.0
0.0700700700701,4.0,0.0,1.0
0.0710710710711,4.0,0.0,1.0
0.0720720720721,4.0,0.0,1.0
0.0730730730731,4.0,0.0,1.0
0.0740740740741,4.0,0.0,1.0
0.0750750750751,4.0,0.0,1.0
0.0760760760761,4.0,0.0,1.0
0.0770770770771,4.0,0.0,1.0
0.0780780780781,4.0,0.0,1.0
0.0790790790791,4.0,0.0,1.0
0.0800800800801,4.0,0.0,1.0
0.0810810810811,4.0,0.0,1.0
0.0820820820821,4.0,0.0,1.0
0.0830830830831,4.0,0.0,1.0
0.0840840840841,4.0,0.0,1.0
0.0850850850851,4.0,0.0,1.0
0.0860860860861,4.0,0.0,1.0
0.0870870870871,4.0,0.0,1.0
0.0880880880881,4.0,0.0,1.0
0.0890890890891,4.0,0.0,1.0
0.0900900900901,4.0,0.0,1.0
0.0910910910911,4.0,0.0,1.0
0.0920920920921,4.0,0.0,1.0
0.0930930930931,4.0,0.0,1.0
0.0940940940941,4.0,0.0,1.0
0.0950950950951,4.0,0.0,1.0
0.0960960960961,4.0,0.0,1.0
0.0970970970971,4.0,0.0,1.0
0.0980980980981,4.0,0.0,1.0
0.0990990990991,4.0,0.0,1.0
0.1001001001,4.0,0.0,1.0
0.101101101101,4.0,0.0,1.0
0.102102102102,4.0,0.0,1.0
0.103103103103,4.0,0.0,1.0
0.104104104104,4.0,0.0,1.0
0.105105105105,4.0,0.0,1.0
0.106106106106,4.0,0.0,1.0
0.107107107107,4.0,0.0,1.0
0.108108108108,4.0,0.0,1.0
0.109109109109,4.0,0.0,1.0
0.11011011011,4.0,0.0,1.0
0.111111111111,4.0,0.0,1.0
0.112112112112,4.0,0.0,1.0
0.113113113113,4.0,0.0,1.0
0.114114114114,4.0,0.0,1.0
0.115115115115,4.0,0.0,1.0
0.116116116116,4.0,0.0,1.0
0.117117117117,4.0,0.0,1.0
0.118118118118,4.0,0.0,1.0
0.119119119119,4.0,0.0,1.0
0.12012012012,4.0,0.0,1.0
0.121121121121,4.0,0.0,1.0
0.122122122122,4.0,0.0,1.0
0.123123123123,4.0,0.0,1.0
0.124124124124,4.0,0.0,1.0
