-3.00   5250. 2.50  -0.364  -0.073   0.637   0.414   0.433
-3.00   5250. 3.00  -0.371  -0.105   0.638   0.415   0.434
-3.00   5250. 3.50  -0.376  -0.127   0.642   0.416   0.435
-3.00   5250. 4.00  -0.376  -0.137   0.647   0.418   0.436
-3.00   5250. 4.50  -0.375  -0.138   0.656   0.420   0.437
-3.00   5250. 5.00  -0.372  -0.133   0.665   0.421   0.439
-3.00   5500. 0.00  -0.237   0.181   0.588   0.369   0.383
-3.00   5500. 0.50  -0.252   0.117   0.574   0.368   0.385
-3.00   5500. 1.00  -0.269   0.049   0.566   0.369   0.387
-3.00   5500. 1.50  -0.285  -0.012   0.562   0.371   0.389
-3.00   5500. 2.00  -0.301  -0.068   0.563   0.373   0.392
-3.00   5500. 2.50  -0.314  -0.115   0.566   0.375   0.395
-3.00   5500. 3.00  -0.325  -0.151   0.569   0.377   0.398
-3.00   5500. 3.50  -0.333  -0.179   0.573   0.378   0.400
-3.00   5500. 4.00  -0.337  -0.198   0.579   0.380   0.401
-3.00   5500. 4.50  -0.338  -0.207   0.586   0.382   0.403
-3.00   5500. 5.00  -0.336  -0.208   0.594   0.384   0.406
-3.00   5750. 0.00  -0.178   0.167   0.449   0.304   0.333
-3.00   5750. 0.50  -0.200   0.088   0.487   0.324   0.346
-3.00   5750. 1.00  -0.219   0.030   0.488   0.328   0.350
-3.00   5750. 1.50  -0.237  -0.027   0.491   0.332   0.353
-3.00   5750. 2.00  -0.255  -0.080   0.496   0.336   0.357
-3.00   5750. 2.50  -0.273  -0.130   0.502   0.340   0.360
-3.00   5750. 3.00  -0.287  -0.172   0.508   0.342   0.364
-3.00   5750. 3.50  -0.299  -0.207   0.514   0.344   0.367
-3.00   5750. 4.00  -0.307  -0.234   0.520   0.346   0.370
-3.00   5750. 4.50  -0.311  -0.253   0.527   0.349   0.371
-3.00   5750. 5.00  -0.311  -0.263   0.535   0.350   0.374
-3.00   6000. 0.00  -0.130   0.154   0.348   0.250   0.287
-3.00   6000. 0.50  -0.152   0.107   0.368   0.264   0.297
-3.00   6000. 1.00  -0.176   0.030   0.412   0.287   0.312
-3.00   6000. 1.50  -0.196  -0.024   0.426   0.294   0.319
-3.00   6000. 2.00  -0.216  -0.076   0.435   0.300   0.324
-3.00   6000. 2.50  -0.237  -0.127   0.445   0.306   0.328
-3.00   6000. 3.00  -0.255  -0.174   0.454   0.310   0.332
-3.00   6000. 3.50  -0.271  -0.216   0.462   0.313   0.336
-3.00   6000. 4.00  -0.283  -0.252   0.469   0.316   0.339
-3.00   6000. 4.50  -0.291  -0.280   0.476   0.318   0.343
-3.00   6000. 5.00  -0.294  -0.300   0.484   0.320   0.345
-3.00   6250. 0.00  -0.096   0.155   0.265   0.204   0.246
-3.00   6250. 0.50  -0.113   0.118   0.281   0.215   0.254
-3.00   6250. 1.00  -0.134   0.072   0.308   0.231   0.265
-3.00   6250. 1.50  -0.160  -0.008   0.359   0.256   0.283
-3.00   6250. 2.00  -0.182  -0.061   0.379   0.265   0.290
-3.00   6250. 2.50  -0.204  -0.112   0.392   0.272   0.296
-3.00   6250. 3.00  -0.226  -0.163   0.404   0.278   0.302
-3.00   6250. 3.50  -0.246  -0.211   0.414   0.284   0.306
-3.00   6250. 4.00  -0.263  -0.254   0.423   0.287   0.312
-3.00   6250. 4.50  -0.275  -0.290   0.431   0.290   0.315
-3.00   6250. 5.00  -0.283  -0.319   0.439   0.293   0.318
-3.00   6500. 0.00  -0.073   0.152   0.183   0.163   0.209
-3.00   6500. 0.50  -0.086   0.125   0.195   0.171   0.215
-3.00   6500. 1.00  -0.102   0.096   0.234   0.186   0.225
-3.00   6500. 1.50  -0.125   0.047   0.269   0.204   0.238
-3.00   6500. 2.00  -0.151  -0.032   0.317   0.228   0.256
-3.00   6500. 2.50  -0.175  -0.090   0.343   0.240   0.265
-3.00   6500. 3.00  -0.199  -0.142   0.358   0.248   0.271
-3.00   6500. 3.50  -0.223  -0.194   0.370   0.255   0.277
-3.00   6500. 4.00  -0.244  -0.244   0.381   0.260   0.283
-3.00   6500. 4.50  -0.261  -0.288   0.390   0.264   0.288
-3.00   6500. 5.00  -0.274  -0.326   0.398   0.267   0.292
-3.00   6750. 0.00  -0.058   0.137   0.122   0.127   0.173
-3.00   6750. 0.50  -0.066   0.119   0.130   0.132   0.177
-3.00   6750. 1.00  -0.080   0.116   0.157   0.146   0.186
-3.00   6750. 1.50  -0.097   0.082   0.200   0.162   0.198
-3.00   6750. 2.00  -0.120   0.029   0.239   0.181   0.213
-3.00   6750. 2.50  -0.149  -0.056   0.287   0.205   0.232
-3.00   6750. 3.00  -0.175  -0.115   0.313   0.218   0.241
-3.00   6750. 3.50  -0.201  -0.169   0.329   0.226   0.249
-3.00   6750. 4.00  -0.226  -0.224   0.342   0.233   0.256
-3.00   6750. 4.50  -0.248  -0.275   0.352   0.238   0.263
-3.00   6750. 5.00  -0.266  -0.322   0.362   0.242   0.268
-3.00   7000. 0.00  -0.049   0.108   0.082   0.097   0.142
-3.00   7000. 0.50  -0.053   0.099   0.086   0.100   0.144
-3.00   7000. 1.00  -0.065   0.117   0.099   0.110   0.152
-3.00   7000. 1.50  -0.079   0.111   0.132   0.124   0.162
-3.00   7000. 2.00  -0.099   0.072   0.177   0.141   0.175
-3.00   7000. 2.50  -0.124   0.007   0.219   0.162   0.192
-3.00   7000. 3.00  -0.154  -0.078   0.266   0.186   0.210
-3.00   7000. 3.50  -0.182  -0.138   0.289   0.197   0.221
-3.00   7000. 4.00  -0.209  -0.196   0.305   0.206   0.229
-3.00   7000. 4.50  -0.236  -0.254   0.318   0.213   0.237
-3.00   7000. 5.00  -0.258  -0.308   0.329   0.218   0.244
