 80000. 7.0 -6.077 -1.259 -0.324 -0.144 -0.206
 85000. 7.0 -6.286 -1.263 -0.327 -0.145 -0.207
 90000. 7.0 -6.482 -1.266 -0.330 -0.146 -0.208
 95000. 7.0 -6.668 -1.270 -0.332 -0.147 -0.210
100000. 7.0 -6.844 -1.273 -0.334 -0.148 -0.211
  1500. 7.5  0.989  1.409  1.811  0.418 -2.319
  1750. 7.5  0.796  1.219  1.701  0.540 -1.458
  2000. 7.5  0.578  1.029  1.571  0.640 -0.735
  2250. 7.5  0.350  0.871  1.479  0.724 -0.175
  2500. 7.5  0.166  0.757  1.399  0.762  0.210
  2750. 7.5 -0.002  0.653  1.330  0.781  0.476
  3000. 7.5 -0.149  0.563  1.268  0.780  0.634
  3250. 7.5 -0.268  0.476  1.208  0.763  0.700
  3500. 7.5 -0.361  0.396  1.149  0.735  0.712
  3750. 7.5 -0.425  0.322  1.091  0.702  0.696
  4000. 7.5 -0.454  0.247  1.031  0.666  0.666
  4250. 7.5 -0.446  0.171  0.968  0.626  0.628
  4500. 7.5 -0.401  0.090  0.899  0.582  0.585
  4750. 7.5 -0.340  0.008  0.829  0.538  0.541
  5000. 7.5 -0.276 -0.072  0.760  0.494  0.498
  5250. 7.5 -0.221 -0.146  0.696  0.454  0.458
  5500. 7.5 -0.180 -0.214  0.637  0.417  0.422
  5750. 7.5 -0.161 -0.277  0.584  0.384  0.391
  6000. 7.5 -0.141 -0.340  0.530  0.352  0.359
  6250. 7.5 -0.141 -0.390  0.485  0.324  0.332
  6500. 7.5 -0.140 -0.440  0.440  0.296  0.305
  6750. 7.5 -0.148 -0.472  0.406  0.273  0.282
  7000. 7.5 -0.155 -0.505  0.372  0.251  0.260
  7250. 7.5 -0.167 -0.523  0.346  0.232  0.239
  7500. 7.5 -0.178 -0.542  0.320  0.213  0.219
  7750. 7.5 -0.190 -0.549  0.301  0.196  0.200
  8000. 7.5 -0.202 -0.556  0.282  0.178  0.182
  8250. 7.5 -0.214 -0.555  0.268  0.161  0.164
  8500. 7.5 -0.226 -0.554  0.254  0.144  0.147
  8750. 7.5 -0.237 -0.547  0.244  0.128  0.131
