 0.00000E+00 9.00000E+00    2251 4.00000E-03
 LogT          HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
               cen92         cen92         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         cen92         cen92         cen92         cen92         
 5.60000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.05527E-10   1.38202E-10   1.22211E-09   1.06719E-10   2.37498E-10   4.86327E-10   0.00000E+00   3.59989E-26   1.62463E-26   1.43996E-25   1.49463E-26   3.73029E-26   2.68906E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 6.00000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.03563E-10   1.37396E-10   1.21425E-09   1.06135E-10   2.35863E-10   4.83681E-10   0.00000E+00   3.60985E-26   1.63010E-26   1.44394E-25   1.50031E-26   3.73889E-26   2.69945E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 6.40000E-02   0.00000E+00   0.00000E+00   0.00000E+00   3.01612E-10   1.36594E-10   1.20645E-09   1.05554E-10   2.34239E-10   4.81050E-10   0.00000E+00   3.61984E-26   1.63558E-26   1.44793E-25   1.50601E-26   3.74751E-26   2.70988E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 6.80000E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.99674E-10   1.35797E-10   1.19870E-09   1.04976E-10   2.32627E-10   4.78433E-10   0.00000E+00   3.62985E-26   1.64109E-26   1.45194E-25   1.51173E-26   3.75615E-26   2.72035E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.20000E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.97748E-10   1.35005E-10   1.19099E-09   1.04402E-10   2.31025E-10   4.75830E-10   0.00000E+00   3.63989E-26   1.64661E-26   1.45596E-25   1.51747E-26   3.76481E-26   2.73086E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 7.60000E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.95834E-10   1.34217E-10   1.18334E-09   1.03830E-10   2.29435E-10   4.73241E-10   0.00000E+00   3.64996E-26   1.65215E-26   1.45998E-25   1.52324E-26   3.77349E-26   2.74140E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 8.00000E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.93933E-10   1.33434E-10   1.17573E-09   1.03262E-10   2.27855E-10   4.70666E-10   0.00000E+00   3.66006E-26   1.65771E-26   1.46402E-25   1.52902E-26   3.78219E-26   2.75199E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 8.40000E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.92044E-10   1.32656E-10   1.16818E-09   1.02696E-10   2.26287E-10   4.68105E-10   0.00000E+00   3.67018E-26   1.66328E-26   1.46807E-25   1.53483E-26   3.79091E-26   2.76262E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 8.80000E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.90167E-10   1.31882E-10   1.16067E-09   1.02134E-10   2.24729E-10   4.65558E-10   0.00000E+00   3.68034E-26   1.66888E-26   1.47214E-25   1.54065E-26   3.79965E-26   2.77328E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 9.20000E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.88302E-10   1.31112E-10   1.15321E-09   1.01575E-10   2.23182E-10   4.63025E-10   0.00000E+00   3.69052E-26   1.67450E-26   1.47621E-25   1.54650E-26   3.80840E-26   2.78399E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 9.60000E-02   0.00000E+00   0.00000E+00   0.00000E+00   2.86449E-10   1.30347E-10   1.14580E-09   1.01019E-10   2.21646E-10   4.60506E-10   0.00000E+00   3.70073E-26   1.68013E-26   1.48029E-25   1.55237E-26   3.81718E-26   2.79474E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.00000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.84608E-10   1.29587E-10   1.13843E-09   1.00466E-10   2.20120E-10   4.58000E-10   0.00000E+00   3.71097E-26   1.68578E-26   1.48439E-25   1.55826E-26   3.82598E-26   2.80553E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.04000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.82779E-10   1.28831E-10   1.13112E-09   9.99156E-11   2.18605E-10   4.55507E-10   0.00000E+00   3.72123E-26   1.69146E-26   1.48849E-25   1.56418E-26   3.83480E-26   2.81636E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.08000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.80961E-10   1.28079E-10   1.12385E-09   9.93685E-11   2.17100E-10   4.53028E-10   0.00000E+00   3.73153E-26   1.69715E-26   1.49261E-25   1.57011E-26   3.84364E-26   2.82723E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 1.12000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.79156E-10   1.27332E-10   1.11662E-09   9.88243E-11   2.15605E-10   4.50563E-10   0.00000E+00   3.74185E-26   1.70286E-26   1.49674E-25   1.57607E-26   3.85250E-26   2.83814E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
