  6.9360D+00  1.2860D+01  1.5860D+00  1.8210D+01  1.8210D+01  1.1715D+01  1.5017D+01  4.5530D+00  7.2750D+00  7.1620D+00
  4.4150D+00  4.7340D+00  9.3120D+00  4.2610D+00  6.7710D+00 -3.9100D-01 -4.7340D+00 -9.3120D+00  1.3933D+01  2.2179D+01
  2.6500D-01  0.0000D+00  0.0000D+00  8.1400D-01  6.7100D+00  7.0700D-01  9.9700D-01  9.9900D-01  0.0000D+00  0.0000D+00
  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  9.9700D-01
  1.1748D+00  3.7298D+00  3.7298D+00  0.0000D+00  3.5407D+00  4.8036D+00  5.3849D+00  5.9407D+00  6.5574D+00  9.0136D+00
  1.0151D+01  1.1241D+01  1.3307D+01  2.3275D+01  2.9511D+01  3.7594D+01  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
  5.1984D-01  1.3099D+00  1.3099D+00  0.0000D+00  1.2003D+00  1.4878D+00  1.6095D+00  1.7208D+00  2.0333D+00  2.5774D+00
  2.8104D+00  3.0245D+00  3.4090D+00  5.6677D+00  6.8393D+00  8.3175D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
  4.1260D-01  6.5496D-01  6.5496D-01  0.0000D+00  5.9582D-01  6.4262D-01  6.5931D-01  6.7325D-01  8.0532D-01  8.8933D-01
  9.1996D-01  9.4581D-01  9.8751D-01  1.3624D+00  1.4931D+00  1.6504D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
  1.6301D+00  5.9173D+00  5.9173D+00  0.0000D+00  5.7790D+00  8.3018D+00  9.5203D+00  1.0716D+01  1.1206D+01  1.6192D+01
  1.8606D+01  2.0978D+01  2.5616D+01  4.5664D+01  5.9608D+01  7.7975D+01  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
  1.0000D+00  2.9897D+00  1.6962D+01  2.1640D+01  2.6723D+01  3.8019D+01  5.0711D+01  6.4697D+01  1.7205D+02
  1.0000D+00  4.0000D+00  1.2000D+01  1.4000D+01  1.6000D+01  2.0000D+01  2.4000D+01  2.8000D+01  5.6000D+01   
  1.0078D+00  4.0026D+00  1.2000D+01  1.4003D+01  1.5995D+01  1.9992D+01  2.3985D+01  2.7977D+01  5.5935D+01   
  1.0000D+00  2.0000D+00  1.0000D+00  2.0000D+00  1.0000D+00  6.0000D+00  9.0000D+00  4.0000D+00  9.0000D+00
  6.0000D+00  1.0000D+00  2.0000D+00  1.0000D+00  6.0000D+00  9.0000D+00  4.0000D+00  9.0000D+00  6.0000D+00
  1.0000D+00  1.0000D+01  2.1000D+01  2.8000D+01  2.5000D+01  6.0000D+00  2.5000D+01  2.8000D+01  2.1000D+01
  1.3595D+01  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  2.4580D+01
  7.8983D+01  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  1.1260D+01  3.5640D+01
  8.3500D+01  1.4798D+02  5.3997D+02  1.0298D+03  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00  0.0000D+00
