   3.44716   3.47712   3.51188   3.54407   3.57403   3.60206   3.62839   3.65321   3.69897   3.74036
   3.77815   3.81291   3.84510   3.87506   3.90309   3.92942   3.95424   3.97772   4.00000   4.04139
   4.07918   4.11394   4.14613   4.17609   4.20412   4.25527   4.30103   4.35218   4.39794   4.47712
   4.54407   4.60206   4.65321   4.69897
   0.00000   0.50000   1.00000   1.50000   2.00000   2.50000   3.00000   3.50000   4.00000   4.50000
   5.00000   5.50000   6.00000
  -5.006   4.680   3.126   2.050   3.046
  -4.855   4.362   2.999   1.999   2.939
  -4.703   4.044   2.871   1.949   2.831
  -4.551   3.725   2.744   1.898   2.723
  -4.400   3.407   2.617   1.847   2.615
  -4.248   3.089   2.490   1.796   2.508
  -4.096   2.771   2.363   1.746   2.400
  -3.945   2.453   2.236   1.695   2.293
  -3.793   2.134   2.108   1.645   2.185
  -3.642   1.816   1.981   1.594   2.077
  -3.490   1.498   1.854   1.543   1.969
  -3.339   1.180   1.727   1.493   1.861
  -3.187   0.862   1.600   1.442   1.754
  -4.024   4.156   2.785   1.752   2.460
  -3.915   3.874   2.679   1.712   2.388
  -3.805   3.593   2.573   1.671   2.315
  -3.696   3.312   2.466   1.630   2.242
  -3.587   3.031   2.360   1.590   2.169
  -3.478   2.749   2.254   1.549   2.097
  -3.369   2.468   2.147   1.508   2.024
  -3.260   2.187   2.041   1.467   1.951
  -3.150   1.906   1.934   1.427   1.879
  -3.041   1.624   1.828   1.386   1.806
  -2.932   1.343   1.722   1.345   1.733
  -2.823   1.062   1.615   1.305   1.660
  -2.714   0.781   1.509   1.264   1.587
  -2.965   3.535   2.395   1.424   1.835
  -2.900   3.304   2.314   1.397   1.795
  -2.834   3.073   2.233   1.370   1.757
  -2.769   2.842   2.153   1.343   1.718
  -2.704   2.611   2.073   1.317   1.679
  -2.639   2.381   1.992   1.289   1.640
  -2.573   2.150   1.912   1.262   1.601
  -2.508   1.919   1.831   1.235   1.562
  -2.443   1.688   1.751   1.209   1.523
  -2.378   1.457   1.670   1.182   1.484
  -2.312   1.226   1.590   1.155   1.445
  -2.247   0.995   1.509   1.128   1.406
  -2.182   0.764   1.428   1.101   1.367
  -2.081   2.934   2.041   1.138   1.325
  -2.051   2.756   1.984   1.124   1.312
  -2.021   2.578   1.927   1.111   1.298
  -1.992   2.399   1.870   1.097   1.285
  -1.962   2.221   1.813   1.084   1.272
  -1.933   2.043   1.757   1.070   1.259
  -1.903   1.865   1.700   1.056   1.245
  -1.873   1.687   1.643   1.042   1.232
  -1.844   1.509   1.586   1.029   1.219
  -1.814   1.331   1.529   1.016   1.206
  -1.785   1.153   1.472   1.002   1.193
  -1.755   0.975   1.415   0.988   1.179
  -1.726   0.796   1.358   0.975   1.166
  -1.378   2.357   1.704   0.895   0.932
  -1.375   2.241   1.677   0.897   0.934
  -1.372   2.124   1.649   0.900   0.936
  -1.370   2.006   1.620   0.902   0.937
  -1.367   1.887   1.589   0.904   0.939
  -1.364   1.768   1.558   0.906   0.941
  -1.361   1.647   1.526   0.907   0.943
  -1.357   1.527   1.493   0.908   0.945
  -1.352   1.406   1.459   0.909   0.947
  -1.348   1.285   1.424   0.910   0.948
  -1.344   1.162   1.390   0.911   0.950
  -1.340   1.039   1.356   0.913   0.952
  -1.336   0.915   1.321   0.915   0.954
  -0.855   1.782   1.436   0.694   0.665
  -0.871   1.723   1.423   0.708   0.676
  -0.887   1.665   1.411   0.723   0.687
  -0.903   1.606   1.398   0.738   0.697
  -0.918   1.547   1.385   0.752   0.708
  -0.934   1.487   1.372   0.767   0.719
  -0.949   1.428   1.359   0.781   0.730
  -0.965   1.368   1.345   0.795   0.741
  -0.980   1.308   1.331   0.810   0.752
  -0.996   1.248   1.317   0.824   0.762
  -1.012   1.187   1.303   0.838   0.773
  -1.028   1.127   1.289   0.853   0.784
  -1.043   1.066   1.274   0.867   0.795
  -0.523   1.324   1.380   0.570   0.516
  -0.544   1.281   1.324   0.582   0.530
  -0.564   1.245   1.278   0.596   0.544
  -0.583   1.216   1.242   0.611   0.557
  -0.600   1.196   1.219   0.627   0.570
  -0.617   1.184   1.201   0.645   0.583
  -0.638   1.175   1.192   0.665   0.596
  -0.668   1.168   1.193   0.689   0.611
  -0.703   1.164   1.198   0.715   0.627
  -0.737   1.168   1.206   0.740   0.642
  -0.768   1.179   1.214   0.761   0.656
  -0.798   1.198   1.225   0.781   0.668
  -0.827   1.223   1.237   0.799   0.679
  -0.331   1.062   1.468   0.514   0.448
  -0.348   0.991   1.336   0.513   0.461
  -0.363   0.939   1.230   0.516   0.472
  -0.376   0.905   1.149   0.523   0.483
  -0.384   0.892   1.097   0.533   0.493
  -0.392   0.898   1.061   0.546   0.503
  -0.410   0.915   1.047   0.568   0.515
  -0.449   0.935   1.056   0.596   0.530
  -0.500   0.966   1.078   0.628   0.546
