 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   14.2344    4.0000   15.1114   15.1073    4.8833    1.5332    4.2175    3.9312  1.0000E-10     -0.0382  1.4805E+02
   14.2487    4.0000   15.1114   15.1067    4.8844    1.5334    4.2177    3.9472  1.0000E-10     -0.0382  1.4792E+02
   14.2629    4.0000   15.1114   15.1061    4.8854    1.5337    4.2178    3.9632  1.0000E-10     -0.0382  1.4773E+02
   14.2771    4.0000   15.1114   15.1055    4.8865    1.5341    4.2179    3.9792  1.0000E-10     -0.0382  1.4749E+02
   14.2913    4.0000   15.1114   15.1049    4.8875    1.5345    4.2179    3.9952  1.0000E-10     -0.0382  1.4718E+02
   14.3056    4.0000   15.1114   15.1043    4.8886    1.5351    4.2179    4.0112  1.0000E-10     -0.0382  1.4680E+02
   14.3198    4.0000   15.1114   15.1037    4.8897    1.5359    4.2178    4.0272  1.0000E-10     -0.0382  1.4634E+02
   14.3340    4.0000   15.1114   15.1031    4.8907    1.5367    4.2176    4.0432  1.0000E-10     -0.0382  1.4580E+02
   14.3482    4.0000   15.1114   15.1025    4.8918    1.5378    4.2173    4.0592  1.0000E-10     -0.0382  1.4516E+02
   14.3625    4.0000   15.1114   15.1019    4.8928    1.5390    4.2170    4.0752  1.0000E-10     -0.0382  1.4442E+02
   14.3767    4.0000   15.1114   15.1013    4.8939    1.5403    4.2166    4.0912  1.0000E-10     -0.0382  1.4359E+02
   14.3909    4.0000   15.1114   15.1006    4.8949    1.5419    4.2160    4.1072  1.0000E-10     -0.0382  1.4264E+02
   14.4052    4.0000   15.1114   15.1000    4.8960    1.5437    4.2154    4.1232  1.0000E-10     -0.0382  1.4158E+02
   14.4194    4.0000   15.1114   15.0994    4.8971    1.5457    4.2147    4.1393  1.0000E-10     -0.0382  1.4040E+02
   14.4336    4.0000   15.1114   15.0988    4.8981    1.5479    4.2139    4.1553  1.0000E-10     -0.0382  1.3910E+02
   14.4478    4.0000   15.1114   15.0981    4.8992    1.5504    4.2129    4.1713  1.0000E-10     -0.0382  1.3767E+02
   14.4621    4.0000   15.1114   15.0975    4.9002    1.5531    4.2118    4.1873  1.0000E-10     -0.0382  1.3612E+02
   14.4763    4.0000   15.1114   15.0969    4.9013    1.5560    4.2106    4.2033  1.0000E-10     -0.0382  1.3443E+02
   14.4905    4.0000   15.1114   15.0962    4.9023    1.5593    4.2092    4.2193  1.0000E-10     -0.0382  1.3261E+02
   14.5047    4.0000   15.1114   15.0955    4.9034    1.5628    4.2077    4.2353  1.0000E-10     -0.0382  1.3066E+02
   14.5190    4.0000   15.1114   15.0949    4.9045    1.5667    4.2061    4.2513  1.0000E-10     -0.0382  1.2857E+02
   14.5332    4.0000   15.1114   15.0942    4.9055    1.5708    4.2042    4.2673  1.0000E-10     -0.0382  1.2635E+02
   14.5474    4.0000   15.1114   15.0935    4.9066    1.5753    4.2023    4.2833  1.0000E-10     -0.0382  1.2400E+02
   14.5617    4.0000   15.1114   15.0929    4.9076    1.5801    4.2001    4.2993  1.0000E-10     -0.0382  1.2152E+02
   14.5759    4.0000   15.1114   15.0922    4.9087    1.5852    4.1978    4.3153  1.0000E-10     -0.0382  1.1891E+02
   14.5901    4.0000   15.1114   15.0915    4.9098    1.5908    4.1953    4.3313  1.0000E-10     -0.0382  1.1618E+02
   14.6043    4.0000   15.1114   15.0908    4.9108    1.5967    4.1926    4.3474  1.0000E-10     -0.0382  1.1333E+02
   14.6186    4.0000   15.1114   15.0900    4.9119    1.6029    4.1898    4.3634  1.0000E-10     -0.0382  1.1037E+02
   14.6328    4.0000   15.1114   15.0893    4.9129    1.6096    4.1867    4.3794  1.0000E-10     -0.0382  1.0731E+02
   14.6470    4.0000   15.1114   15.0886    4.9140    1.6167    4.1834    4.3954  1.0000E-10     -0.0382  1.0414E+02
   14.6612    4.0000   15.1114   15.0878    4.9150    1.6242    4.1799    4.4114  1.0000E-10     -0.0382  1.0089E+02
   14.6755    4.0000   15.1114   15.0871    4.9161    1.6321    4.1762    4.4274  1.0000E-10     -0.0382  9.7552E+01
   14.6897    4.0000   15.1114   15.0863    4.9172    1.6405    4.1723    4.4434  1.0000E-10     -0.0382  9.4144E+01
   14.7039    4.0000   15.1114   15.0855    4.9182    1.6493    4.1682    4.4594  1.0000E-10     -0.0382  9.0673E+01
   14.7182    4.0000   15.1114   15.0847    4.9193    1.6586    4.1638    4.4754  1.0000E-10     -0.0382  8.7151E+01
   14.7324    4.0000   15.1114   15.0838    4.9203    1.6684    4.1592    4.4914  1.0000E-10     -0.0382  8.3588E+01
   14.7466    4.0000   15.1114   15.0830    4.9214    1.6786    4.1543    4.5074  1.0000E-10     -0.0382  7.9997E+01
   14.7608    4.0000   15.1114   15.0821    4.9224    1.6894    4.1492    4.5234  1.0000E-10     -0.0382  7.6388E+01
   14.7751    4.0000   15.1114   15.0813    4.9235    1.7007    4.1438    4.5394  1.0000E-10     -0.0382  7.2775E+01
   14.7893    4.0000   15.1114   15.0803    4.9246    1.7125    4.1381    4.5555  1.0000E-10     -0.0382  6.9168E+01
   14.8035    4.0000   15.1114   15.0794    4.9256    1.7249    4.1322    4.5715  1.0000E-10     -0.0382  6.5580E+01
   14.8177    4.0000   15.1114   15.0785    4.9267    1.7378    4.1260    4.5875  1.0000E-10     -0.0382  6.2024E+01
   14.8320    4.0000   15.1114   15.0775    4.9277    1.7513    4.1196    4.6035  1.0000E-10     -0.0382  5.8510E+01
   14.8462    4.0000   15.1114   15.0765    4.9288    1.7653    4.1128    4.6195  1.0000E-10     -0.0382  5.5051E+01
   14.8604    4.0000   15.1114   15.0754    4.9298    1.7800    4.1058    4.6355  1.0000E-10     -0.0382  5.1657E+01
   14.8747    4.0000   15.1114   15.0744    4.9309    1.7952    4.0984    4.6515  1.0000E-10     -0.0382  4.8338E+01
   14.8889    4.0000   15.1114   15.0733    4.9320    1.8110    4.0907    4.6675  1.0000E-10     -0.0382  4.5105E+01
   14.9031    4.0000   15.1114   15.0721    4.9330    1.8275    4.0828    4.6835  1.0000E-10     -0.0382  4.1967E+01
   14.9173    4.0000   15.1114   15.0710    4.9341    1.8446    4.0745    4.6995  1.0000E-10     -0.0382  3.8932E+01
   14.9316    4.0000   15.1114   15.0697    4.9351    1.8624    4.0659    4.7155  1.0000E-10     -0.0382  3.6006E+01
   14.9458    4.0000   15.1114   15.0685    4.9362    1.8808    4.0569    4.7315  1.0000E-10     -0.0382  3.3198E+01
   14.9600    4.0000   15.1114   15.0672    4.9373    1.8999    4.0476    4.7475  1.0000E-10     -0.0382  3.0511E+01
   14.9742    4.0000   15.1114   15.0658    4.9383    1.9197    4.0380    4.7636  1.0000E-10     -0.0382  2.7951E+01
   14.9885    4.0000   15.1114   15.0644    4.9394    1.9402    4.0280    4.7796  1.0000E-10     -0.0382  2.5521E+01
   15.0027    4.0000   15.1114   15.0629    4.9404    1.9614    4.0177    4.7956  1.0000E-10     -0.0382  2.3223E+01
   15.0169    4.0000   15.1114   15.0614    4.9415    1.9833    4.0070    4.8116  1.0000E-10     -0.0382  2.1059E+01
   15.0312    4.0000   15.1114   15.0597    4.9425    2.0059    3.9960    4.8276  1.0000E-10     -0.0382  1.9029E+01
   15.0454    4.0000   15.1114   15.0581    4.9436    2.0293    3.9845    4.8436  1.0000E-10     -0.0382  1.7132E+01
   15.0596    4.0000   15.1114   15.0563    4.9447    2.0534    3.9727    4.8596  1.0000E-10     -0.0382  1.5367E+01
   15.0738    4.0000   15.1114   15.0544    4.9457    2.0783    3.9605    4.8756  1.0000E-10     -0.0382  1.3731E+01
   15.0881    4.0000   15.1114   15.0524    4.9468    2.1040    3.9480    4.8916  1.0000E-10     -0.0382  1.2220E+01
   15.1023    4.0000   15.1114   15.0503    4.9478    2.1305    3.9350    4.9076  1.0000E-10     -0.0382  1.0832E+01
   15.1165    4.0000   15.1114   15.0480    4.9489    2.1578    3.9216    4.9236  1.0000E-10     -0.0382  9.5612E+00
   15.1307    4.0000   15.1114   15.0456    4.9499    2.1859    3.9078    4.9396  1.0000E-10     -0.0382  8.4035E+00
   15.1450    4.0000   15.1114   15.0430    4.9510    2.2149    3.8936    4.9557  1.0000E-10     -0.0382  7.3535E+00
   15.1592    4.0000   15.1114   15.0402    4.9521    2.2446    3.8790    4.9717  1.0000E-10     -0.0382  6.4055E+00
