# Orbital solution for gas clouds in the Central Molecular Zone, published in Kruijssen, Dale & Longmore, 2015, MNRAS, 447, 1063-1083
# t[Myr], x[pc], y[pc], z[pc], R[pc], vx[km/s], vy[km/s], vz[km/s], vorb[km/s], l[deg], b[deg], vlos'[km/s], mu_l'[mas/yr], mu_b'[mas/yr], mu_x'[mas/yr], mu_y'[mas/yr]
# IMPORTANT: see Appendix C in the accompanying paper for details on the coordinate systems and assumptions

 -2.22     60.45385    -43.13917     -2.50157     67.85278   -172.86679    -88.65758     31.70853    196.85314     -0.40750     -0.01686   -102.65758     -2.08931      0.58485     -1.59119     -1.47492
 -2.21     58.67831    -44.03936     -2.17897     67.10098   -174.74452    -87.06165     31.28707    197.72657     -0.39553     -0.01469   -101.06165     -2.04272      0.57439     -1.55785     -1.44074
 -2.20     56.87874    -44.91819     -1.86223     66.38480   -176.55424    -85.40938     30.82317    198.54419     -0.38340     -0.01255    -99.40938     -1.99781      0.56288     -1.52449     -1.40855
 -2.19     55.06745    -45.78612     -1.54860     65.68734   -178.32899    -83.72918     30.33811    199.33336     -0.37119     -0.01044    -97.72918     -1.95377      0.55084     -1.49113     -1.37737
 -2.18     53.23328    -46.63179     -1.24152     65.02913   -180.03186    -81.99359     29.81089    200.06455     -0.35883     -0.00837    -95.99359     -1.91151      0.53776     -1.45782     -1.34826
 -2.17     51.38284    -47.46007     -0.93988     64.40301   -181.67862    -80.21662     29.25217    200.75101     -0.34636     -0.00634    -94.21662     -1.87065      0.52389     -1.42458     -1.32074
 -2.16     49.52157    -48.27678     -0.64186     63.79830   -183.28797    -78.41207     28.67245    201.40766     -0.33381     -0.00433    -92.41207     -1.83071      0.50951     -1.39137     -1.29428
 -2.15     47.63475    -49.06340     -0.35375     63.25138   -184.79941    -76.53980     28.04090    201.98755     -0.32109     -0.00238    -90.53980     -1.79320      0.49383     -1.35835     -1.27057
 -2.14     45.73838    -49.83755     -0.06994     62.72920   -186.26965    -74.64146     27.38914    202.53581     -0.30831     -0.00047    -88.64146     -1.75672      0.47766     -1.32543     -1.24799
 -2.13     43.82767    -50.59300      0.20742     62.24412   -187.67809    -72.70401     26.70704    203.03663     -0.29543      0.00140    -86.70401     -1.72177      0.46074     -1.29267     -1.22710
 -2.12     41.89919    -51.32269      0.47554     61.81152   -189.00023    -70.71682     25.98582    203.47258     -0.28243      0.00321    -84.71682     -1.68896      0.44284     -1.26020     -1.20855
 -2.11     39.96228    -52.03927      0.73886     61.40586   -190.27822    -68.70560     25.24551    203.87574     -0.26937      0.00498    -82.70560     -1.65725      0.42447     -1.22790     -1.19118
 -2.10     38.00900    -52.72933      0.99232     61.05535   -191.46624    -66.64745     24.46771    204.21268     -0.25621      0.00669    -80.64745     -1.62777      0.40517     -1.19598     -1.17619
 -2.09     36.04466    -53.39889      1.23791     60.74796   -192.58413    -64.55667     23.66335    204.49914     -0.24297      0.00834    -78.55667     -1.60003      0.38521     -1.16440     -1.16303
 -2.08     34.07294    -54.05480      1.47827     60.46931   -193.65530    -62.44412     22.84125    204.75196     -0.22967      0.00996    -76.44412     -1.57344      0.36481     -1.13306     -1.15108
 -2.07     32.08466    -54.67573      1.70484     60.26483   -194.60584    -60.28168     21.97770    204.91977     -0.21627      0.01149    -74.28168     -1.54986      0.34338     -1.10240     -1.14223
 -2.06     30.09057    -55.28236      1.92563     60.09068   -195.50683    -58.10127     21.09886    205.05339     -0.20283      0.01298    -72.10127     -1.52750      0.32157     -1.07206     -1.13461
 -2.05     28.08776    -55.86753      2.13775     59.96205   -196.33348    -55.89392     20.19708    205.13573     -0.18933      0.01441    -69.89392     -1.50699      0.29919     -1.04220     -1.12887
 -2.04     26.07495    -56.42355      2.33783     59.89490   -197.05888    -53.65490     19.26756    205.14969     -0.17576      0.01576    -67.65490     -1.48898      0.27612     -1.01306     -1.12562
 -2.03     24.05756    -56.96487      2.53179     59.85854   -197.73326    -51.40117     18.32494    205.12955     -0.16216      0.01707    -65.40117     -1.47225      0.25273     -0.98431     -1.12362
 -2.02     22.03185    -57.47655      2.71329     59.88389   -198.30480    -49.12028     17.35765    205.04142     -0.14851      0.01829    -63.12028     -1.45807      0.22873     -0.95636     -1.12412
 -2.01     20.00116    -57.96569      2.88515     59.95524   -198.79844    -46.82247     16.37428    204.90284     -0.13482      0.01945    -60.82247     -1.44582      0.20433     -0.92909     -1.12647
 -2.00     17.96716    -58.43981      3.05060     60.05728   -199.24016    -44.51340     15.38019    204.73064     -0.12111      0.02056    -58.51340     -1.43486      0.17966     -0.90226     -1.13005
 -1.99     15.92699    -58.87596      3.19959     60.23485   -199.55147    -42.18203     14.36351    204.47573     -0.10736      0.02157    -56.18203     -1.42713      0.15443     -0.87664     -1.13669
 -1.98     13.88522    -59.29680      3.34186     60.44189   -199.81070    -39.84410     13.33951    204.18847     -0.09360      0.02253    -53.84410     -1.42070      0.12902     -0.85153     -1.14452
 -1.97     11.84102    -59.69466      3.47406     60.69317   -199.99177    -37.49631     12.30452    203.85265     -0.07982      0.02342    -51.49631     -1.41621      0.10334     -0.82721     -1.15414
 -1.96      9.79531    -60.06171      3.59262     61.00145   -200.06932    -35.14001     11.25835    203.45382     -0.06603      0.02422    -49.14001     -1.41428      0.07738     -0.80399     -1.16610
 -1.95      7.74926    -60.41334      3.70431     61.33764   -200.09540    -32.78056     10.20743    203.02398     -0.05224      0.02497    -46.78056     -1.41363      0.05130     -0.78133     -1.17920
 -1.94      5.70337    -60.73406      3.80221     61.72847   -200.01913    -30.41707      9.14874    202.53310     -0.03844      0.02563    -44.41707     -1.41553      0.02503     -0.75983     -1.19457
