  1  0  -31.70      -25.81      -23.54      -22.62      -49.46      -25.80      -22.62      -39.59      -25.69      -22.61    
  2  0   4.708       8.284       11.56       14.90      0.2271E-01   8.286       14.90      0.7254       8.317       14.92    
  3  0  0.7415      0.5150     -0.1494      -1.187      0.4303E-01  0.5147      -1.188      0.2856      0.5106      -1.193    
  4  0 -0.9520E-01 -0.4294     -0.8832      -1.459      0.1433E-01 -0.4297      -1.459      0.4783E-01 -0.4332      -1.462    
  5  0 -0.1188     -0.2743     -0.4597     -0.6869      0.5066E-02 -0.2744     -0.6870     -0.1320E-02 -0.2760     -0.6881    
  6  0 -0.5838E-01 -0.1103     -0.1685     -0.2407      0.1556E-02 -0.1104     -0.2407     -0.7267E-02 -0.1108     -0.2411    
  7  0 -0.1961E-01 -0.3160E-01 -0.4519E-01 -0.6407E-01  0.3815E-03 -0.3160E-01 -0.6408E-01 -0.4559E-02 -0.3170E-01 -0.6418E-01
  8  0 -0.3967E-02 -0.4911E-02 -0.6868E-02 -0.1129E-01  0.3815E-05 -0.4911E-02 -0.1129E-01 -0.1980E-02 -0.4913E-02 -0.1131E-01
  9  0  0.5474E-03  0.1242E-02  0.1154E-02 -0.2022E-03 -0.6866E-04  0.1244E-02 -0.2022E-03 -0.5455E-03  0.1247E-02 -0.2108E-03
 10  0  0.9766E-03  0.1259E-02  0.1076E-02  0.2651E-03 -0.6485E-04  0.1259E-02  0.2632E-03  0.3815E-05  0.1266E-02  0.2584E-03
 11  0  0.5302E-03  0.4272E-03  0.1316E-03 -0.4330E-03 -0.5341E-04  0.4272E-03 -0.4339E-03  0.1373E-03  0.4234E-03 -0.4358E-03
 12  0  0.2003E-03 -0.1907E-05 -0.2432E-03 -0.5856E-03 -0.1526E-04 -0.3815E-05 -0.5836E-03  0.1640E-03 -0.3815E-05 -0.5865E-03
 13  0 -0.6485E-04 -0.2460E-03 -0.3939E-03 -0.5589E-03 -0.1526E-04 -0.2460E-03 -0.5608E-03  0.8774E-04 -0.2441E-03 -0.5608E-03
 14  0 -0.9346E-04 -0.1850E-03 -0.2346E-03 -0.2842E-03 -0.1526E-04 -0.1831E-03 -0.2832E-03  0.4959E-04 -0.1869E-03 -0.2842E-03
 15  0 -0.4578E-04 -0.8011E-04 -0.8774E-04 -0.8774E-04  0.3815E-05 -0.8202E-04 -0.8678E-04  0.5722E-04 -0.8011E-04 -0.8583E-04
 16  0 -0.7820E-04 -0.9727E-04 -0.9251E-04 -0.8392E-04  0.1144E-04 -0.9537E-04 -0.8583E-04  0.2670E-04 -0.9918E-04 -0.8678E-04
 17  0 -0.6866E-04 -0.6294E-04 -0.4578E-04 -0.2861E-04 -0.7629E-05 -0.6485E-04 -0.2766E-04 -0.1526E-04 -0.6485E-04 -0.2766E-04
 18  0 -0.4005E-04 -0.2289E-04   0.000      0.1717E-04 -0.1526E-04 -0.2098E-04  0.1717E-04 -0.2289E-04 -0.1907E-04  0.1717E-04
 19  0  0.6294E-04  0.8583E-04  0.1030E-03  0.1144E-03  0.3815E-05  0.8583E-04  0.1144E-03  0.2670E-04  0.8392E-04  0.1135E-03
 20  0 -0.2289E-04 -0.3052E-04 -0.3242E-04 -0.3815E-04 -0.3815E-05 -0.3242E-04 -0.3815E-04   0.000     -0.2670E-04 -0.3719E-04
 21  0  0.1144E-04  0.1335E-04  0.1526E-04  0.1335E-04  0.7629E-05  0.1335E-04  0.1431E-04  0.1526E-04  0.1144E-04  0.1431E-04
 22  0 -0.1907E-04 -0.2480E-04 -0.2670E-04 -0.2670E-04  0.1526E-04 -0.2289E-04 -0.2766E-04  0.3815E-05 -0.2670E-04 -0.2766E-04
 23  0 -0.3624E-04 -0.3624E-04 -0.3529E-04 -0.3433E-04 -0.1144E-04 -0.3624E-04 -0.3529E-04 -0.3052E-04 -0.3433E-04 -0.3529E-04
 24  2  0.4670      0.7994E-02 -0.9955E-01 -0.4525E-01  0.1147      0.7572E-02 -0.4522E-01 -0.2896      0.1431E-02 -0.4478E-01
 25  4 -0.4843E-01 -0.1764     -0.2144     -0.2158      0.1060E-01 -0.1765     -0.2158     -0.6813E-01 -0.1776     -0.2157    
 26  6 -0.2365E-01 -0.5962E-01 -0.5430E-01 -0.3375E-01  0.9911E-02 -0.5965E-01 -0.3374E-01 -0.2937E-01 -0.6002E-01 -0.3360E-01
 27  8 -0.5354E-02 -0.1202E-01  0.4253E-03  0.1830E-01  0.5554E-02 -0.1202E-01  0.1830E-01 -0.2340E-01 -0.1209E-01  0.1840E-01
 28 10  0.1986E-02  0.3214E-02  0.1213E-01  0.2221E-01  0.3426E-02  0.3202E-02  0.2222E-01 -0.1133E-01  0.3086E-02  0.2227E-01
 29 12  0.3428E-02  0.6256E-02  0.1120E-01  0.1571E-01  0.2014E-02  0.6254E-02  0.1571E-01 -0.7507E-02  0.6233E-02  0.1574E-01
 30 12  0.2161E-02  0.5096E-02  0.7353E-02  0.8690E-02  0.1244E-02  0.5096E-02  0.8691E-02 -0.4074E-02  0.5116E-02  0.8695E-02
 31 12  0.1587E-02  0.2844E-02  0.3393E-02  0.3332E-02  0.7706E-03  0.2844E-02  0.3329E-02 -0.2346E-02  0.2850E-02  0.3329E-02
 32 12  0.9460E-03  0.1364E-02  0.1291E-02  0.8812E-03  0.4387E-03  0.1364E-02  0.8821E-03 -0.1404E-02  0.1362E-02  0.8812E-03
 33 12  0.6866E-03  0.7801E-03  0.5674E-03  0.1945E-03  0.2975E-03  0.7782E-03  0.1955E-03 -0.7553E-03  0.7782E-03  0.1917E-03
