#       RADIUS          VC_TOT      PSIMAJ_TOT            PSI2
#
   2.9250000       3.1177833      -33.932251     -0.74809784    
   2.9500000       3.1222622      -33.849140     -0.73778641    
   2.9750001       3.1268239      -33.766949     -0.72801125    
   3.0000000       3.1312335      -33.684757     -0.71823609    
   3.0250001       3.1357219      -33.603462     -0.70895052    
   3.0500000       3.1400225      -33.522202     -0.69966495    
   3.0750000       3.1443760      -33.441818     -0.69089437    
   3.1000001       3.1485856      -33.361446     -0.68212372    
   3.1250000       3.1528635      -33.281921     -0.67378438    
   3.1500001       3.1570013      -33.202404     -0.66544509    
   3.1750000       3.1612039      -33.123707     -0.65749907    
   3.2000000       3.1652701      -33.045013     -0.64955318    
   3.2250001       3.1693976      -32.967136     -0.64198112    
   3.2500000       3.1733923      -32.889256     -0.63440907    
   3.2750001       3.1774454      -32.812160     -0.62719536    
   3.3000000       3.1813693      -32.735077     -0.61998153    
   3.3250000       3.1853483      -32.658764     -0.61307704    
   3.3500001       3.1892016      -32.582447     -0.60617250    
   3.3750000       3.1931074      -32.506889     -0.59957910    
   3.4000001       3.1968906      -32.431335     -0.59298563    
   3.4250000       3.2007234      -32.356522     -0.58667040    
   3.4500000       3.2044365      -32.281700     -0.58035517    
   3.4750001       3.2081978      -32.207611     -0.57430732    
   3.5000000       3.2118416      -32.133522     -0.56825936    
   3.5250001       3.2155309      -32.060143     -0.56246257    
   3.5500000       3.2191057      -31.986763     -0.55666572    
   3.5750000       3.2227240      -31.914080     -0.55110490    
   3.6000001       3.2262306      -31.841393     -0.54554415    
   3.6250000       3.2297788      -31.769386     -0.54020506    
   3.6500001       3.2332017      -31.697433     -0.53486598    
   3.6750000       3.2366405      -31.626217     -0.52980214    
   3.7000000       3.2399719      -31.554996     -0.52473831    
   3.7250001       3.2433386      -31.484434     -0.51988351    
   3.7500000       3.2466002      -31.413872     -0.51502872    
   3.7750001       3.2498953      -31.343954     -0.51035756    
   3.8000000       3.2530878      -31.274036     -0.50568640    
   3.8250000       3.2563121      -31.204748     -0.50118673    
   3.8500001       3.2594357      -31.135460     -0.49668705    
   3.8750000       3.2625902      -31.066793     -0.49235231    
   3.9000001       3.2656457      -30.998131     -0.48801762    
   3.9250000       3.2687309      -30.930075     -0.48383272    
   3.9500000       3.2717192      -30.862015     -0.47964782    
   3.9750001       3.2747357      -30.794559     -0.47560674    
   4.0000000       3.2776573      -30.727100     -0.47156563    
   4.0250001       3.2806058      -30.660231     -0.46766496    
   4.0500002       3.2834616      -30.593363     -0.46376431    
   4.0750003       3.2863436      -30.527079     -0.45998538    
   4.0999999       3.2891340      -30.460787     -0.45620650    
   4.1250000       3.2919493      -30.395071     -0.45255435    
   4.1500001       3.2946749      -30.329348     -0.44890219    
   4.1750002       3.2974248      -30.264193     -0.44536322    
   4.2000003       3.3000872      -30.199032     -0.44182435    
   4.2249999       3.3027725      -30.134424     -0.43839404    
   4.2500000       3.3053720      -30.069820     -0.43496370    
   4.2750001       3.3079937      -30.005758     -0.43164063    
   4.3000002       3.3105307      -29.941698     -0.42831761    
   4.3250003       3.3130896      -29.878172     -0.42508927    
   4.3499999       3.3155651      -29.814642     -0.42186084    
   4.3750000       3.3180637      -29.751692     -0.41875529    
   4.4000001       3.3204851      -29.688854     -0.41564974    
   4.4250002       3.3229256      -29.626535     -0.41268030    
   4.4500003       3.3252854      -29.564211     -0.40971082    
   4.4749999       3.3276627      -29.502403     -0.40683550    
   4.5000000       3.3299611      -29.440596     -0.40396017    
   4.5250001       3.3322763      -29.379290     -0.40115631    
   4.5500002       3.3345134      -29.317984     -0.39835244    
   4.5750003       3.3367674      -29.257179     -0.39562970    
   4.5999999       3.3389440      -29.196373     -0.39290699    
   4.6250000       3.3411374      -29.136057     -0.39025056    
   4.6500001       3.3432550      -29.075743     -0.38759416    
   4.6750002       3.3453882      -29.015911     -0.38500771    
   4.7000003       3.3474472      -28.956081     -0.38242126    
   4.7249999       3.3495216      -28.896729     -0.37989491    
   4.7500000       3.3515224      -28.837372     -0.37736857    
   4.7750001       3.3535388      -28.778490     -0.37491789    
   4.8000002       3.3554823      -28.719608     -0.37246722    
   4.8250003       3.3574414      -28.661190     -0.37006679    
   4.8499999       3.3593285      -28.602776     -0.36766642    
   4.8750000       3.3612306      -28.544817     -0.36533180    
   4.9000001       3.3630621      -28.486860     -0.36299717    
   4.9250002       3.3649080      -28.429354     -0.36070323    
   4.9500003       3.3666849      -28.371855     -0.35840932    
   4.9749999       3.3684757      -28.314800     -0.35617900    
   5.0000000       3.3701985      -28.257744     -0.35394865    
   5.0250001       3.3719354      -28.201128     -0.35176280    
   5.0500002       3.3736045      -28.144516     -0.34957698    
   5.0750003       3.3752878      -28.088341     -0.34743744    
   5.0999999       3.3769045      -28.032166     -0.34529796    
   5.1250000       3.3785350      -27.976418     -0.34320655    
   5.1500001       3.3801000      -27.920673     -0.34111515    
   5.1750002       3.3816786      -27.865355     -0.33906722    
   5.2000003       3.3831925      -27.810036     -0.33701932    
   5.2249999       3.3847201      -27.755136     -0.33501557    
   5.2500000       3.3861983      -27.700294     -0.33301184    
   5.2750001       3.3877170      -27.645958     -0.33108109    
   5.3000002       3.3891728      -27.591629     -0.32915041    
   5.3250003       3.3906410      -27.537708     -0.32727000    
   5.3499999       3.3920469      -27.483786     -0.32538959    
   5.3750000       3.3934655      -27.430279     -0.32354352    
   5.4000001       3.3948228      -27.376764     -0.32169741    
   5.4250002       3.3961916      -27.323650     -0.31988943    
   5.4500003       3.3975003      -27.270542     -0.31808135    
   5.4749999       3.3988209      -27.217827     -0.31630185    
   5.5000000       3.4000819      -27.165112     -0.31452236    
   5.5250001       3.4013550      -27.112789     -0.31278118    
   5.5500002       3.4025691      -27.060471     -0.31103998    
   5.5750003       3.4037955      -27.008537     -0.30932474    
   5.5999999       3.4049633      -26.956604     -0.30760956    
   5.6250000       3.4061430      -26.905060     -0.30592865    
   5.6500001       3.4072654      -26.853512     -0.30424774    
   5.6750002       3.4084003      -26.802345     -0.30259219    
   5.7000003       3.4094777      -26.751181     -0.30093670    
   5.7249999       3.4105670      -26.700382     -0.29931653    
   5.7500000       3.4116008      -26.649593     -0.29769635    
   5.7750001       3.4126463      -26.599174     -0.29609910    
   5.8000002       3.4136367      -26.548754     -0.29450181    
   5.8250003       3.4146388      -26.498701     -0.29292947    
   5.8499999       3.4155860      -26.448652     -0.29135713    
   5.8750000       3.4165456      -26.398964     -0.28981483    
   5.9000001       3.4174509      -26.349274     -0.28827250    
   5.9250002       3.4183686      -26.299946     -0.28674802    
   5.9500003       3.4192326      -26.250618     -0.28522357    
   5.9749999       3.4201090      -26.201649     -0.28372794    
   6.0000000       3.4209323      -26.152678     -0.28223234    
   6.0250001       3.4217680      -26.104059     -0.28076267    
   6.0500002       3.4225514      -26.055441     -0.27929297    
   6.0750003       3.4233472      -26.007172     -0.27784067    
   6.0999999       3.4240911      -25.958902     -0.27638832    
   6.1250000       3.4248474      -25.910980     -0.27496225    
   6.1500001       3.4255526      -25.863052     -0.27353612    
   6.1750002       3.4262702      -25.815474     -0.27212527    
   6.2000003       3.4269373      -25.767893     -0.27071440    
   6.2249999       3.4276173      -25.720646     -0.26933175    
   6.2500000       3.4282470      -25.673401     -0.26794913    
   6.2750001       3.4288898      -25.626493     -0.26658174    
   6.3000002       3.4294944      -25.579636     -0.26521435    
   6.3250003       3.4301288      -25.533182     -0.26387757    
   6.3499999       3.4307146      -25.486729     -0.26254076    
   6.3750000       3.4313128      -25.440605     -0.26122993    
   6.4000001       3.4318626      -25.394482     -0.25991911    
   6.4250002       3.4324253      -25.348679     -0.25862539    
   6.4500003       3.4329398      -25.302879     -0.25733170    
   6.4749999       3.4334671      -25.257402     -0.25605270    
   6.5000000       3.4339471      -25.211922     -0.25477368    
   6.5250001       3.4344401      -25.166763     -0.25351483    
   6.5500002       3.4348860      -25.121603     -0.25225592    
   6.5750003       3.4353452      -25.076759     -0.25100943    
   6.5999999       3.4357579      -25.031914     -0.24976297    
   6.6250000       3.4361835      -24.987381     -0.24853630    
   6.6500001       3.4365635      -24.942846     -0.24730965    
   6.6750002       3.4369564      -24.898624     -0.24609891    
   6.7000003       3.4373038      -24.854399     -0.24488816    
   6.7249999       3.4376647      -24.810482     -0.24369100    
   6.7500000       3.4379809      -24.766562     -0.24249382    
   6.7750001       3.4383104      -24.722946     -0.24131292    
   6.8000002       3.4385953      -24.679329     -0.24013203    
   6.8250003       3.4388938      -24.636017     -0.23896849    
   6.8499999       3.4391482      -24.592701     -0.23780493    
   6.8750000       3.4394162      -24.549683     -0.23665097    
   6.9000001       3.4396403      -24.506664     -0.23549701    
   6.9250002       3.4398785      -24.463943     -0.23436034    
   6.9500003       3.4400735      -24.421219     -0.23322366    
   6.9749999       3.4402821      -24.378786     -0.23210187    
   7.0000000       3.4404483      -24.336357     -0.23098010    
   7.0250001       3.4406285      -24.294212     -0.22986826    
   7.0500002       3.4407659      -24.252066     -0.22875641    
   7.0750003       3.4409180      -24.210209     -0.22766045    
   7.0999999       3.4410276      -24.168354     -0.22656451    
   7.1250000       3.4411519      -24.126778     -0.22547965    
   7.1500001       3.4412344      -24.085203     -0.22439480    
   7.1750002       3.4413316      -24.043909     -0.22332367    
   7.2000003       3.4413877      -24.002615     -0.22225256    
   7.2249999       3.4414577      -23.961597     -0.22119565    
   7.2500000       3.4414876      -23.920580     -0.22013876    
   7.2750001       3.4415319      -23.879839     -0.21909080    
   7.3000002       3.4415357      -23.839100     -0.21804288    
   7.3250003       3.4415545      -23.798632     -0.21700512    
   7.3499999       3.4415333      -23.758163     -0.21596739    
   7.3750000       3.4415271      -23.717964     -0.21494436    
   7.4000001       3.4414814      -23.677765     -0.21392134    
   7.4250002       3.4414504      -23.637831     -0.21290900    
   7.4500003       3.4413800      -23.597900     -0.21189667    
   7.4749999       3.4413252      -23.558235     -0.21089351    
   7.5000000       3.4412315      -23.518568     -0.20989037    
   7.5250001       3.4411530      -23.479162     -0.20890042    
   7.5500002       3.4410367      -23.439774     -0.20791048    
   7.5750003       3.4409430      -23.400759     -0.20694482    
   7.5999999       3.4408112      -23.361748     -0.20597917    
   7.6250000       3.4406936      -23.322992     -0.20502800    
   7.6500001       3.4405386      -23.284237     -0.20407683    
   7.6750002       3.4403980      -23.245739     -0.20313992    
   7.7000003       3.4402204      -23.207241     -0.20220302    
   7.7249999       3.4400570      -23.168993     -0.20126882    
   7.7500000       3.4398570      -23.130745     -0.20033464    
   7.7750001       3.4396720      -23.092751     -0.19941625    
   7.8000002       3.4394495      -23.054752     -0.19849788    
   7.8250003       3.4392428      -23.017004     -0.19758627    
   7.8499999       3.4389994      -22.979254     -0.19667467    
   7.8750000       3.4387712      -22.941751     -0.19577299    
   7.9000001       3.4385068      -22.904247     -0.19487131    
   7.9250002       3.4382579      -22.866989     -0.19397964    
   7.9500003       3.4379728      -22.829725     -0.19308798    
   7.9749999       3.4377034      -22.792711     -0.19220306    
   8.0000000       3.4373984      -22.755693     -0.19131815    
   8.0250006       3.4371090      -22.718914     -0.19044515    
   8.0500002       3.4367840      -22.682133     -0.18957217    
   8.0749998       3.4364750      -22.645590     -0.18870600    
   8.1000004       3.4361315      -22.609049     -0.18783981    
   8.1250000       3.4358032      -22.572742     -0.18698068    
   8.1500006       3.4354408      -22.536436     -0.18612154    
   8.1750002       3.4350941      -22.500359     -0.18527766    
   8.1999998       3.4347131      -22.464285     -0.18443376    
   8.2250004       3.4343481      -22.428440     -0.18358967    
   8.2500000       3.4339490      -22.392595     -0.18274555    
   8.2750006       3.4335661      -22.356979     -0.18191686    
   8.3000002       3.4331496      -22.321367     -0.18108818    
   8.3249998       3.4327490      -22.285975     -0.18026190    
   8.3500004       3.4323153      -22.250584     -0.17943561    
   8.3750000       3.4318981      -22.215420     -0.17861983    
   8.4000006       3.4314477      -22.180252     -0.17780407    
   8.4250002       3.4310141      -22.145311     -0.17699584    
