0 0.736828
0.15 0.730714
0.3 0.72465
0.45 0.718636
0.6 0.712672
0.75 0.706758
0.9 0.700893
1.05 0.695076
1.2 0.689308
1.35 0.683588
1.5 0.677915
1.65 0.672289
1.8 0.66671
1.95 0.661177
2.1 0.65569
2.25 0.650249
2.4 0.644853
2.55 0.639501
2.7 0.634194
2.85 0.628931
3 0.623712
3.15 0.618536
3.3 0.613403
3.45 0.608312
3.6 0.603264
3.75 0.598258
3.9 0.593293
4.05 0.588369
4.2 0.583487
4.35 0.578645
4.5 0.573843
4.65 0.56908
4.8 0.564358
4.95 0.559674
5.1 0.55503
5.25 0.550424
5.4 0.545856
5.55 0.541326
5.7 0.536834
5.85 0.532379
6 0.527961
6.15 0.523579
6.3 0.519234
6.45 0.514925
6.6 0.510652
6.75 0.506414
6.9 0.502212
7.05 0.498044
7.2 0.493911
7.35 0.489812
7.5 0.485747
7.65 0.481716
7.8 0.477718
7.95 0.473754
8.1 0.469822
8.25 0.465923
8.4 0.462056
8.55 0.458221
8.7 0.454416
8.85 0.450641
9 0.446895
9.15 0.443174
9.3 0.439475
9.45 0.435791
9.6 0.432112
9.75 0.428423
9.9 0.424702
10.05 0.420915
10.2 0.417018
10.35 0.412948
10.5 0.408623
10.65 0.403936
10.8 0.398758
10.95 0.392931
11.1 0.386276
11.25 0.378597
11.4 0.36969
11.55 0.359357
11.7 0.347423
11.85 0.333755
12 0.318281
12.15 0.301006
12.3 0.282026
12.45 0.261534
12.6 0.239818
12.75 0.217247
12.9 0.194257
13.05 0.171317
13.2 0.148901
13.35 0.12746
13.5 0.107387
13.65 0.0889993
13.8 0.0725182
13.95 0.0580666
14.1 0.045671
14.25 0.035271
14.4 0.0267368
14.55 0.0198872
14.7 0.0145108
14.85 0.0103835
